gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,truncated,flags,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,seeds_upstream,fast_transit_share,pagerank,hub,authority,betweenness
100000000343175100,distributor,0.3639,16,0.2788,получателей: 31; плательщиков: 8; исходящий поток: 4 000 039 KZT,0,true,false,seed|fast_transit,8,31,178712,4000039,14,33,22.3826,7,1,0.000709762,0.0065894,0.000289331,0.00109469
100000000456947100,peripheral,0,65,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000000580561100,peripheral,0,37,0.1779,"смешанные признаки: плательщиков 2, получателей 3, поток 1 516 057 KZT",0,true,false,seed|fast_transit|mixed_signals|cycle,2,3,27980,1488077,3,13,53.1836,0,0.5712,0.000828964,0,0,0.00000118888
100000001415126100,peripheral,0,26,0.1886,"ниже порога конечного получателя: плательщиков 1 (нужно ≥ 2), получено 27 000 KZT (нужно ≥ 200 000 KZT)",0,true,false,seed,1,0,27000,0,1,0,0,7,0,0.000407179,0,2.88744e-7,0
100000001429930100,peripheral,0,15,0.1561,"ниже порога конечного получателя: плательщиков 1 (нужно ≥ 2), получено 26 000 KZT (нужно ≥ 200 000 KZT)",0,true,false,seed,1,0,26000,0,1,0,0,7,0,0.00034879,0,4.25995e-8,0
100000001616816100,peripheral,0,10,0.2346,"смешанные признаки: плательщиков 5, получателей 3, поток 357 521 KZT",0,true,false,seed|fast_transit|mixed_signals|cycle,5,3,176195,181326,12,10,1.0291,10,0.6939,0.00241194,0.0000218704,4.749e-7,0.000104701
100000001732159100,peripheral,0,4,0.2226,"смешанные признаки: плательщиков 2, получателей 4, поток 3 884 066 KZT",0,true,false,seed|fast_transit|mixed_signals|cycle,2,4,2378100,1505966,30,23,0.6333,9,0.9145,0.00108571,0.0000534019,7.69949e-7,0.0000202709
100000002527114100,distributor,0.8541,24,0.2943,получателей: 111; плательщиков: 3; исходящий поток: 3 289 249 KZT,0,true,false,seed|cycle,3,111,129000,3289249,4,113,25.4981,0,0.4464,0.00080609,9.60128e-11,2.52742e-14,0.000193391
100000002916006100,peripheral,0,26,0.1354,"смешанные признаки: плательщиков 0, получателей 1, поток 32 000 KZT",0,true,false,seed|mixed_signals,0,1,0,32000,0,1,,0,0,0.000284037,0,0,0
100000003016635100,coordinator,0.9211,2,0.4744,узлов сбора/раздачи за 2 шага: 21; прямых ветвей: 21; получателей: 73,0,true,false,seed|fast_transit|sync_inflow|cycle,8,73,586981,9414081,36,151,16.0381,6,0.9351,0.00118297,0.0158426,0.0000124908,0.00721547
100000003200071100,peripheral,0,58,0.1335,"смешанные признаки: плательщиков 0, получателей 1, поток 30 000 KZT",0,true,false,seed|mixed_signals,0,1,0,30000,0,1,,0,0,0.000284037,0,0,0
100000003265658100,peripheral,0,66,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000003349739100,peripheral,0,67,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000003684369100,distributor,0.3693,7,0.3402,получателей: 62; плательщиков: 24; исходящий поток: 8 588 655 KZT,0,true,false,seed|fast_transit|sync_inflow|cycle,24,62,3848436,8588655,58,67,2.2317,9,1,0.00200688,0.0247462,0.00135372,0.00230307
100000003770083100,peripheral,0,68,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000003975102100,peripheral,0,2,0.1645,"смешанные признаки: плательщиков 1, получателей 2, поток 114 150 KZT",0,true,false,seed|mixed_signals,1,2,25650,88500,1,2,3.4503,7,0.3616,0.000343486,4.6427e-7,1.33104e-312,0.00000591468
100000003977183100,peripheral,0,10,0.1369,"смешанные признаки: плательщиков 2, получателей 4, поток 889 800 KZT",0,true,false,seed|mixed_signals|cycle,2,4,123800,766000,2,6,6.1874,1,0.2115,0.00032961,0.0000495193,0.0000420066,0.00000158517
100000004007116100,peripheral,0,42,0.151,"смешанные признаки: плательщиков 3, получателей 4, поток 912 704 KZT",0,true,false,seed|fast_transit|mixed_signals|cycle,3,4,764704,148000,24,6,0.1935,0,0.9324,0.000623732,2.34663e-217,1.38074e-217,3.96294e-7
100000004019124100,consolidator,0.8462,2,0.3649,"плательщиков: 3, прямых seed: 2; дальше: 0% входящего",0,true,false,seed,3,0,193000,0,3,0,0,11,0,0.00119475,0,2.66732e-8,0
100000004021459100,peripheral,0,69,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000004041163100,peripheral,0,26,0.302,"смешанные признаки: плательщиков 1, получателей 2, поток 916 000 KZT",0,true,false,seed|mixed_signals|cycle,1,2,50000,866000,1,6,17.32,14,0.0554,0.00206713,4.64241e-7,0,0.0000233813
100000004174835100,peripheral,0,70,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000004193835100,peripheral,0,2,0.1598,"смешанные признаки: плательщиков 1, получателей 1, поток 52 000 KZT",0,true,false,seed|fast_transit|mixed_signals,1,1,47000,5000,1,1,0.1064,7,1,0.000467133,4.60558e-7,6.97342e-11,0.00000667755
100000004269433100,peripheral,0,16,0.1338,"смешанные признаки: плательщиков 0, получателей 1, поток 1 372 000 KZT",0,true,false,seed|mixed_signals,0,1,0,1372000,0,67,,0,0,0.000284037,0,0,0
100000004358004100,distributor,0.3386,30,0.1862,получателей: 11; плательщиков: 0; исходящий поток: 980 850 KZT,0,true,false,seed,0,11,0,980850,0,17,,0,0,0.000284037,0.00363817,0,0
100000004388983100,peripheral,0,39,0.145,"смешанные признаки: плательщиков 0, получателей 2, поток 450 816 KZT",0,true,false,seed|mixed_signals,0,2,0,450816,0,23,,0,0,0.000284037,0,0,0
100000004714705100,peripheral,0,26,0.1366,"смешанные признаки: плательщиков 0, получателей 1, поток 36 550 KZT",0,true,false,seed|mixed_signals,0,1,0,36550,0,1,,0,0,0.000284037,0,0,0
100000004723755100,peripheral,0,7,0.1079,"смешанные признаки: плательщиков 0, получателей 1, поток 95 000 KZT",0,true,false,seed|mixed_signals,0,1,0,95000,0,5,,0,0,0.000284037,0,0,0
100000004813068100,peripheral,0,3,0.1207,"смешанные признаки: плательщиков 0, получателей 3, поток 297 000 KZT",0,true,false,seed|mixed_signals,0,3,0,297000,0,5,,0,0,0.000284037,0,0,0
100000004971871100,peripheral,0,56,0.1419,"смешанные признаки: плательщиков 1, получателей 1, поток 31 050 KZT",0,true,false,seed|fast_transit|mixed_signals|cycle,1,1,25400,5650,3,1,0.2224,0,1,0.000736954,0,0,0
100000005017150100,peripheral,0,71,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000005087431100,peripheral,0,72,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000005235389100,peripheral,0,73,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000005264990100,peripheral,0,26,0.2032,"смешанные признаки: плательщиков 1, получателей 2, поток 139 070 KZT",0,true,false,seed|mixed_signals,1,2,17070,122000,1,2,7.147,7,0,0.00036189,4.64241e-7,2.88744e-7,0.0000776538
100000005370580100,peripheral,0,15,0.1553,"ниже порога конечного получателя: плательщиков 1 (нужно ≥ 2), получено 24 075 KZT (нужно ≥ 200 000 KZT)",0,true,false,seed,1,0,24075,0,1,0,0,7,0,0.000343996,0,4.25995e-8,0
100000005382566100,consolidator,0.6722,26,0.4161,"плательщиков: 7, прямых seed: 6; дальше: 13% входящего",0,true,false,seed|fast_transit|cycle,7,1,393066,50000,11,1,0.1272,14,1,0.00209776,0,0.00000108207,0.0000463664
100000005386383100,peripheral,0,26,0.1989,"смешанные признаки: плательщиков 2, получателей 1, поток 66 500 KZT",0,true,false,seed|mixed_signals,2,1,37500,29000,2,1,0.7733,7,0,0.00052122,4.60558e-7,0,0.0000285232
100000005392290100,peripheral,0,50,0.1424,"смешанные признаки: плательщиков 0, получателей 1, поток 81 465 KZT",0,true,false,seed|mixed_signals,0,1,0,81465,0,1,,0,0,0.000284037,0,0,0
100000005395727100,peripheral,0,26,0.1838,"ниже порога конечного получателя: плательщиков 1 (нужно ≥ 2), получено 17 000 KZT (нужно ≥ 200 000 KZT)",0,true,false,seed,1,0,17000,0,1,0,0,7,0,0.000369107,0,0,0
100000005409680100,terminal,0,14,0.1766,получено: 55 060 KZT; плательщиков: 2; исходящих: 0,0,true,false,seed,2,0,55060,0,2,0,0,9,0,0.000629323,0,0.0000358252,0
100000005417257100,peripheral,0,26,0.146,"смешанные признаки: плательщиков 0, получателей 2, поток 106 000 KZT",0,true,false,seed|mixed_signals,0,2,0,106000,0,2,,0,0,0.000284037,0,0,0
100000005454368100,terminal,0,15,0.1624,получено: 48 600 KZT; плательщиков: 2; исходящих: 0,0,true,false,seed,2,0,48600,0,2,0,0,7,0,0.000391886,0,0.00000507174,0
100000005480435100,peripheral,0,74,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000005485830100,peripheral,0,43,0.1281,"смешанные признаки: плательщиков 0, получателей 5, поток 275 885 KZT",0,true,false,seed|mixed_signals,0,5,0,275885,0,9,,0,0,0.000284037,0,0,0
100000005493505100,consolidator,0.8462,15,0.3492,"плательщиков: 3, прямых seed: 1; дальше: 0% входящего",0,true,false,seed,3,0,62020,0,3,0,0,11,0,0.000613666,0,4.32889e-8,0
100000005495722100,peripheral,0,75,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000005498992100,distributor,0.4802,10,0.2178,получателей: 16; плательщиков: 0; исходящий поток: 2 262 868 KZT,0,true,false,seed,0,16,0,2262868,0,19,,0,0,0.000284037,0.00122064,0,0
100000005519347100,peripheral,0,2,0.1868,"смешанные признаки: плательщиков 2, получателей 1, поток 172 100 KZT",0,true,false,seed|mixed_signals,2,1,73100,99000,2,1,1.3543,9,0,0.000553151,1.13528e-8,1.66926e-312,0.00000151913
100000005523088100,terminal,0.5556,26,0.3576,получено: 700 000 KZT; плательщиков: 1; исходящих: 0,0,true,false,seed,1,0,700000,0,2,0,0,15,0,0.0017043,0,8.65156e-9,0
100000005543136100,peripheral,0,15,0.094,"смешанные признаки: плательщиков 0, получателей 1, поток 10 000 KZT",0,true,false,seed|mixed_signals,0,1,0,10000,0,1,,0,0,0.000284037,1.84249e-8,0,0
100000005550592100,peripheral,0,76,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000005560900100,peripheral,0,77,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000005568407100,peripheral,0,78,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000005668605100,consolidator,0.8333,26,0.3781,"плательщиков: 3, прямых seed: 1; дальше: 0% входящего",0,true,false,seed,3,0,94500,0,3,0,0,10,0,0.000832753,0,0.00000292872,0
100000005744674100,peripheral,0,26,0.1394,"смешанные признаки: плательщиков 0, получателей 1, поток 50 066 KZT",0,true,false,seed|mixed_signals,0,1,0,50066,0,2,,0,0,0.000284037,4.60558e-7,0,0
100000006232815100,peripheral,0,48,0.1436,"смешанные признаки: плательщиков 1, получателей 5, поток 456 500 KZT",0,true,false,seed|mixed_signals|cycle,1,5,160000,296500,2,5,1.8531,0,0,0.000552707,1e-323,0,0.00000277406
100000006249740100,peripheral,0,55,0.131,"смешанные признаки: плательщиков 0, получателей 3, поток 93 007 KZT",0,true,false,seed|mixed_signals,0,3,0,93007,0,5,,0,0,0.000284037,0,0,0
100000006831291100,peripheral,0,61,0.1274,"смешанные признаки: плательщиков 0, получателей 1, поток 15 000 KZT",0,true,false,seed|mixed_signals,0,1,0,15000,0,3,,0,0,0.000284037,0,0,0
100000006866783100,coordinator,0.9143,6,0.4437,узлов сбора/раздачи за 2 шага: 52; прямых ветвей: 31; получателей: 67,0,true,false,seed|fast_transit|sync_inflow|cycle,13,67,838812,3948037,31,90,4.7067,6,1,0.000864797,0.115459,0.000683765,0.00604523
100000007018630100,peripheral,0,40,0.1378,"смешанные признаки: плательщиков 0, получателей 1, поток 200 000 KZT",0,true,false,seed|mixed_signals,0,1,0,200000,0,5,,0,0,0.000284037,0,0,0
100000007747786100,distributor,0.6815,11,0.256,получателей: 31; плательщиков: 0; исходящий поток: 4 238 009 KZT,0,true,false,seed,0,31,0,4238009.4,0,35,,0,0,0.000284037,0.000232959,0,0
100000007982728100,peripheral,0,10,0.1348,"смешанные признаки: плательщиков 0, получателей 8, поток 1 804 384 KZT",0,true,false,seed|mixed_signals,0,8,0,1804384,0,12,,0,0,0.000284037,0.00219446,0,0
100000008117324100,peripheral,0,79,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000008205000100,peripheral,0,80,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000008314203100,peripheral,0,4,0.1969,"смешанные признаки: плательщиков 2, получателей 2, поток 709 076 KZT",0,true,false,seed|mixed_signals|split|cycle,2,2,382076,327000,10,13,0.8559,9,0.4862,0.000499232,0.0000405519,0.00000100942,0
100000008418835100,peripheral,0,16,0.1507,"смешанные признаки: плательщиков 1, получателей 4, поток 1 558 179 KZT",0,true,false,seed|fast_transit|mixed_signals,1,4,1372000,186179,67,6,0.1357,1,0.855,0.000525469,0.000128479,0,0.000316639
100000008513251100,peripheral,0,81,0.08,"seed без переводов в выборке: входящих 0, исходящих 0",0,true,false,seed,0,0,0,0,0,0,,0,0,0.000284037,0,0,0
100000008516839100,consolidator,0.8333,26,0.3866,"плательщиков: 3, прямых seed: 1; дальше: 0% входящего",0,true,false,seed,3,0,155000,0,4,0,0,10,0,0.00106267,0,0,0
100000008522127100,peripheral,0,0,0.1104,"смешанные признаки: плательщиков 0, получателей 1, поток 145 000 KZT",0,true,false,seed|mixed_signals,0,1,0,145000,0,3,,0,0,0.000284037,0,0,0
100000008571433100,peripheral,0,38,0.181,"смешанные признаки: плательщиков 2, получателей 2, поток 1 784 000 KZT",0,true,false,seed|fast_transit|mixed_signals|cycle,2,2,350000,1434000,2,3,4.0971,0,0.742,0.00162767,0,0,9.90734e-7
