rank,gid,role,priority_score,why
1,100000000331309100,distributor,0.5458,"наблюдаемый поток: 23 986 010 KZT; сила роли «распределение»: 0,80; посредничество: 0,005"
2,100000003404627100,consolidator,0.5066,"сила роли «консолидация»: 0,85; наблюдаемый поток: 877 700 KZT; достижим от 11 seed"
3,100000002605308100,consolidator,0.5055,"сила роли «консолидация»: 0,85; наблюдаемый поток: 2 569 522 KZT; достижим от 11 seed"
4,100000004015047100,consolidator,0.4996,"сила роли «консолидация»: 0,72; наблюдаемый поток: 988 299 KZT; достижим от 11 seed"
5,100000008324800100,transit,0.4837,"сила роли «транзит»: 0,97; наблюдаемый поток: 1 037 500 KZT; достижим от 7 seed"
6,100000001072022100,consolidator,0.4807,"сила роли «консолидация»: 0,83; наблюдаемый поток: 1 684 000 KZT; достижим от 10 seed"
7,100000001282143100,consolidator,0.4762,"сила роли «консолидация»: 0,83; наблюдаемый поток: 1 700 000 KZT; достижим от 10 seed"
8,100000000706545100,consolidator,0.4747,"наблюдаемый поток: 1 146 100 KZT; сила роли «консолидация»: 0,65; PageRank: 0,003"
9,100000002718366100,consolidator,0.4744,"сила роли «консолидация»: 0,82; наблюдаемый поток: 2 525 000 KZT; достижим от 9 seed"
10,100000008603629100,distributor,0.4742,"наблюдаемый поток: 6 803 456 KZT; посредничество: 0,006; сила роли «распределение»: 0,42"
11,100000002838861100,consolidator,0.4741,"сила роли «консолидация»: 0,77; наблюдаемый поток: 564 524 KZT; достижим от 8 seed"
12,100000008304139100,coordinator,0.474,"сила роли «координация»: 0,78; наблюдаемый поток: 1 882 327 KZT; достижим от 7 seed"
13,100000002894076100,consolidator,0.4726,"сила роли «консолидация»: 0,83; наблюдаемый поток: 1 122 782 KZT; достижим от 10 seed"
14,100000004400305100,distributor,0.468,"наблюдаемый поток: 6 052 981 KZT; сила роли «распределение»: 0,72; достижим от 7 seed"
15,100000000661912100,transit,0.4659,"сила роли «транзит»: 0,85; наблюдаемый поток: 823 736 KZT; достижим от 7 seed"
16,100000002173161100,consolidator,0.4654,"сила роли «консолидация»: 0,82; наблюдаемый поток: 1 427 500 KZT; достижим от 9 seed"
17,100000002939838100,consolidator,0.4633,"сила роли «консолидация»: 0,83; наблюдаемый поток: 571 233 KZT; достижим от 10 seed"
18,100000001303311100,consolidator,0.4626,"сила роли «консолидация»: 0,82; наблюдаемый поток: 1 324 000 KZT; достижим от 9 seed"
19,100000003299365100,transit,0.4617,"сила роли «транзит»: 1,00; наблюдаемый поток: 400 000 KZT; достижим от 10 seed"
