cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,181,1,43150217.62,100000002718366100|100000001303311100|100000007229557100|100000002956769100|100000002883402100,"Гипотеза для проверки: сообщество с 1 известными seed, возможны консолидация и последующее распределение; внутренний поток 43 150 218 KZT."
1,106,0,25809624.91,100000000331309100|100000001330685100|100000002433697100|100000008192264100|100000001875167100,"Гипотеза для проверки: сообщество без известных seed, возможны консолидация и последующее распределение; внутренний поток 25 809 625 KZT."
2,171,7,24331675.56,100000000706545100|100000003016635100|100000002173161100|100000000201868100|100000008144528100,"Гипотеза для проверки: сообщество с 7 известными seed, возможны консолидация и последующее распределение; внутренний поток 24 331 676 KZT."
3,17,1,21586840,100000002224132100|100000004603109100|100000004892144100|100000004399686100|100000000594783100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 21 586 840 KZT."
4,139,3,19614170,100000003404627100|100000008346837100|100000004070318100|100000004351795100|100000002398779100,"Гипотеза для проверки: сообщество с 3 известными seed, возможны консолидация и последующее распределение; внутренний поток 19 614 170 KZT."
5,71,0,16696068,100000001282143100|100000008460102100|100000005242320100|100000001584286100|100000008258083100,"Гипотеза для проверки: сообщество без известных seed, возможны консолидация и последующее распределение; внутренний поток 16 696 068 KZT."
6,184,1,16079529.13,100000004400305100|100000002957787100|100000006866783100|100000008094734100|100000002645609100,"Гипотеза для проверки: сообщество с 1 известными seed, возможны консолидация и последующее распределение; внутренний поток 16 079 529 KZT."
7,90,2,13594414,100000001072022100|100000003299365100|100000003946524100|100000008748914100|100000001527186100,"Гипотеза для проверки: сообщество с 2 известными seed, возможны консолидация и последующее распределение; внутренний поток 13 594 414 KZT."
8,48,0,11868188.84,100000002605308100|100000005933757100|100000004159526100|100000001904863100|100000004905207100,"Гипотеза для проверки: сообщество без известных seed, возможны консолидация и последующее распределение; внутренний поток 11 868 189 KZT."
9,86,0,11279818,100000000661912100|100000000437046100|100000003834495100|100000008477350100|100000004299488100,"Гипотеза для проверки: сообщество без известных seed, возможны консолидация и последующее распределение; внутренний поток 11 279 818 KZT."
10,116,4,11090786.26,100000004015047100|100000002838861100|100000006972210100|100000003071930100|100000005704413100,"Гипотеза для проверки: сообщество с 4 известными seed, возможны консолидация и последующее распределение; внутренний поток 11 090 786 KZT."
11,58,1,10837374.02,100000002894076100|100000003158727100|100000005473151100|100000000031787100|100000001601320100,"Гипотеза для проверки: сообщество с 1 известными seed, возможны консолидация и последующее распределение; внутренний поток 10 837 374 KZT."
12,51,0,8586742.53,100000007170072100|100000007908818100|100000002531406100|100000002459832100|100000001857829100,"Гипотеза для проверки: сообщество без известных seed, возможны консолидация и последующее распределение; внутренний поток 8 586 743 KZT."
13,84,0,8222615,100000008603629100|100000003134934100|100000002704875100|100000004679953100|100000003880331100,"Гипотеза для проверки: сообщество без известных seed, возможны консолидация и последующее распределение; внутренний поток 8 222 615 KZT."
14,47,1,7895985,100000005778283100|100000008582730100|100000005661829100|100000008546855100|100000003854444100,"Гипотеза для проверки: сообщество с 1 известными seed, возможны консолидация и последующее распределение; внутренний поток 7 895 985 KZT."
15,49,5,7084252.85,100000008324800100|100000008304139100|100000007639767100|100000000489417100|100000005493505100,"Гипотеза для проверки: сообщество с 5 известными seed, преобладают признаки периферийного движения; внутренний поток 7 084 253 KZT."
16,56,3,7026122.8,100000003635170100|100000005367445100|100000006889963100|100000008501413100|100000006755850100,"Гипотеза для проверки: сообщество с 3 известными seed, возможны консолидация и последующее распределение; внутренний поток 7 026 123 KZT."
